lineup_ids,lineup_names,MINUTES
203145-1627816-1628381-1628989-1629027,K. Bazemore-A. Poythress-J. Collins-K. Huerter-T. Young,8.0
203145-1627738-1627761-1629121-1629353,K. Bazemore-D. Davis-D. Bembry-J. Adams-I. Humphries,8.0
203145-203473-1627752-1627761-1629027,K. Bazemore-D. Dedmon-T. Prince-D. Bembry-T. Young,8.0
203101-1627752-1627761-1629016-1629027,M. Plumlee-T. Prince-D. Bembry-O. Spellman-T. Young,8.0
1713-203458-1627761-1628989-1629121,V. Carter-A. Len-D. Bembry-K. Huerter-J. Adams,8.0
1713-203458-1627761-1629016-1629121,V. Carter-A. Len-D. Bembry-O. Spellman-J. Adams,8.0
1713-203458-1627761-1629016-1629027,V. Carter-A. Len-D. Bembry-O. Spellman-T. Young,8.0
1713-203458-1627761-1628416-1628989,V. Carter-A. Len-D. Bembry-T. Dorsey-K. Huerter,8.0
1713-203458-1626147-1628989-1629121,V. Carter-A. Len-J. Anderson-K. Huerter-J. Adams,8.0
1713-1627761-1628989-1629016-1629027,V. Carter-D. Bembry-K. Huerter-O. Spellman-T. Young,8.0
1713-202391-203458-1627752-1627761,V. Carter-J. Lin-A. Len-T. Prince-D. Bembry,8.0
1713-202391-203145-203473-1628989,V. Carter-J. Lin-K. Bazemore-D. Dedmon-K. Huerter,8.0
1713-203145-203473-1628381-1629027,V. Carter-K. Bazemore-D. Dedmon-J. Collins-T. Young,8.0
1713-203101-1627752-1628989-1629027,V. Carter-M. Plumlee-T. Prince-K. Huerter-T. Young,8.0
203458-1627761-1627816-1628989-1629027,A. Len-D. Bembry-A. Poythress-K. Huerter-T. Young,7.0
203458-1627761-1628989-1629016-1629027,A. Len-D. Bembry-K. Huerter-O. Spellman-T. Young,7.0
203458-1626147-1627772-1628416-1629121,A. Len-J. Anderson-D. Hamilton-T. Dorsey-J. Adams,7.0
203473-1627761-1628381-1628416-1629027,D. Dedmon-D. Bembry-J. Collins-T. Dorsey-T. Young,7.0
